dominio,SOA,NS,MX,A,TXT,SRV
wowhead.com,a28-64.akam.net 95.100.173.64,a4-65.akam.net 72.246.46.65 + a11-66.akam.net 84.53.139.66 + a11-66.akam.net 2600:1480:1::42 + a1-23.akam.net 193.108.91.23 + a1-23.akam.net 2600:1401:2::17 + a7-66.akam.net 23.61.199.66 + a7-66.akam.net 2600:1406:32::42 + a26-67.akam.net 23.74.25.67 + a28-64.akam.net 95.100.173.64,alt3.aspmx.l.google.com 108.177.125.26 + alt1.aspmx.l.google.com 173.194.220.26 + aspmx.l.google.com 74.125.140.26 + alt4.aspmx.l.google.com 74.125.195.26 + alt2.aspmx.l.google.com 74.125.130.26 + alt3.aspmx.l.google.com 2404:6800:4008:c01::1b + alt1.aspmx.l.google.com 2a00:1450:4010:c09::1a + aspmx.l.google.com 2a00:1450:400c:c00::1a + alt4.aspmx.l.google.com 2607:f8b0:400e:c09::1b + alt2.aspmx.l.google.com 2404:6800:4003:c01::1b,wowhead.com 104.83.193.148,wowhead.com  + wowhead.com  + wowhead.com  + wowhead.com ,","
wowchakra.com,europe-41.banahosting.com 107.6.171.35,europe-41.banahosting.com 107.6.171.35 + europe-42.banahosting.com 107.6.171.36,wowchakra.com 107.6.171.37,wowchakra.com 107.6.171.37,wowchakra.com ,_caldav._tcp.wowchakra.com 107.6.171.34 + _carddavs._tcp.wowchakra.com 107.6.171.34 + _caldavs._tcp.wowchakra.com 107.6.171.34 + _carddav._tcp.wowchakra.com 107.6.171.34
